"","X","director_name","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_2_name","actor_1_facebook_likes","gross","actor_1_name","movie_title","cast_total_facebook_likes","actor_3_name","facenumber_in_poster","plot_keywords","budget","title_year","actor_2_facebook_likes","imdb_score","Action","Adventure","Fantasy","Sci.Fi","Thriller","Romance","Animation","Comedy","Family","Musical","Mystery","Western","Drama","History","Sport","Crime","Horror","War","Biography","Music","Documentary","Film.Noir","assassin","spy","scientist","vampire","vomiting","king","hospital","writer","student","future","fight","teenager","president","sex","terrorist","train","best.friend","college","serial.killer","hotel","christmas","secret","female.protagonist","battle","box.office.flop","rescue","cia","detective","lawyer","escape","party","wedding","island","marriage","dog","friendship","drugs","money","revenge","prison","school","boy","fbi","alien","high.school","new.york.city","police","death","murder","friend","love","profit"
"44",44,"McG",422,118,368,988,"Bryce Dallas Howard",23000,125320003,"Christian Bale","Terminator Salvation ",27468,"Common",0,"c(""death row"", ""future"", ""machine"", ""rescue"", ""skynet"")",2e+08,2009,3000,6.6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.373399985
"46",46,"Marc Forster",654,123,395,1000,"Brad Pitt",17000,202351611,"Peter Capaldi","World War Z ",32392,"Mireille Enos",0,"c(""chaos"", ""disease"", ""infection"", ""pandemic"", ""zombie"")",1.9e+08,2013,11000,7,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0650084789473684
"48",48,"J.J. Abrams",590,132,14000,928,"Bruce Greenwood",19000,228756232,"Benedict Cumberbatch","Star Trek Into Darkness ",21411,"Noel Clarke",0,"c(""admiral"", ""captain"", ""manhunt"", ""mission"", ""space"")",1.9e+08,2013,981,7.8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203980168421053
"50",50,"Baz Luhrmann",490,143,1000,77,"Elizabeth Debicki",29000,144812796,"Leonardo DiCaprio","The Great Gatsby ",29770,"Steve Bisley",4,"c(""ingratitude"", ""mansion"", ""party"", ""title appears in writing"", ""tragedy"")",1.05e+08,2013,509,7.3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379169485714286
"51",51,"Mike Newell",306,116,179,236,"Richard Coyle",15000,90755643,"Jake Gyllenhaal","Prince of Persia: The Sands of Time ",16149,"Reece Ritchie",2,"c(""alamut"", ""dagger"", ""king"", ""persia"", ""princess"")",2e+08,2010,567,6.6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.546221785
"54",54,"Steven Spielberg",470,122,14000,1000,"Ray Winstone",11000,317011114,"Harrison Ford","Indiana Jones and the Kingdom of the Crystal Skull ",14959,"Jim Broadbent",2,"c(""cult figure"", ""femme fatale"", ""indiana jones"", ""unsubtitled foreign language"", ""year 1957"")",1.85e+08,2008,1000,6.2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.713573589189189
"55",55,"Mark Andrews",488,93,56,838,"John Ratzenberger",2000,237282182,"Kelly Macdonald","Brave ",5005,"Julie Walters",0,"c(""archery"", ""coming of age"", ""female warrior"", ""princess"", ""rebellious daughter"")",1.85e+08,2012,1000,7.2,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282606389189189
"56",56,"Justin Lin",322,122,681,105,"Melissa Roxburgh",998,130468626,"Sofia Boutella","Star Trek Beyond ",1327,"Lydia Wilson",4,"c(""hatred"", ""sequel"", ""space opera"", ""star trek"", ""third part"")",1.85e+08,2016,119,7.5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.294764183783784
"57",57,"Andrew Stanton",421,98,475,522,"Fred Willard",1000,223806889,"John Ratzenberger","WALL·E ",2975,"Jeff Garlin",0,"c(""earth"", ""obesity"", ""plant"", ""robot"", ""soil"")",1.8e+08,2008,729,8.4,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243371605555555
"58",58,"Brett Ratner",162,91,420,173,"Dana Ivey",268,140080850,"Tzi Ma","Rush Hour 3 ",1125,"Noémie Lenoir",2,"c(""ambassador"", ""assassination"", ""chinese"", ""french"", ""triad"")",1.4e+08,2007,268,6.2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000577499999999898
"59",59,"Roland Emmerich",367,158,776,310,"Liam James",1000,166112167,"Oliver Platt","2012 ",2144,"Tom McCarthy",0,"c(""ark"", ""catastrophe"", ""geologist"", ""president"", ""writer"")",2e+08,2009,468,5.8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.169439165
"62",62,"David Yates",248,110,282,103,"Alexander Skarsgård",11000,124051759,"Christoph Waltz","The Legend of Tarzan ",21175,"Casper Crump",2,"c(""africa"", ""capture"", ""jungle"", ""male objectification"", ""tarzan"")",1.8e+08,2016,10000,6.6,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.310823561111111
"63",63,"Andrew Adamson",284,150,80,82,"Kiran Shah",1000,291709845,"Jim Broadbent","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",1317,"Shane Rangi",5,"c(""hide and seek"", ""lion"", ""magic"", ""professor"", ""snow"")",1.8e+08,2005,190,6.9,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62061025
"65",65,"Christopher Nolan",645,152,22000,11000,"Heath Ledger",23000,533316061,"Christian Bale","The Dark Knight ",57802,"Morgan Freeman",0,"c(""based on comic book"", ""dc comics"", ""psychopath"", ""star died before release"", ""urban setting"")",1.85e+08,2008,13000,9,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88278951891892
"68",68,"Jon Favreau",486,126,4000,4000,"Jeff Bridges",21000,318298180,"Robert Downey Jr.","Iron Man ",39252,"Jon Favreau",3,"c(""afghanistan"", ""billionaire"", ""inventor"", ""playboy"", ""u.s. air force"")",1.4e+08,2008,12000,7.9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27355842857143
"69",69,"Martin Scorsese",682,126,17000,1000,"Christopher Lee",17000,73820094,"Chloë Grace Moretz","Hugo ",36017,"Ray Winstone",0,"c(""automaton"", ""mechanical"", ""railway station"", ""steampunk"", ""train"")",1.7e+08,2011,16000,7.5,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.565764152941177
"70",70,"Barry Sonnenfeld",85,106,188,582,"Salma Hayek",10000,113745408,"Will Smith","Wild Wild West ",15870,"Bai Ling",2,"c(""buddy movie"", ""general"", ""inventor"", ""steampunk"", ""utah"")",1.7e+08,1999,4000,4.8,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.330909364705882
"71",71,"Rob Cohen",264,112,357,595,"Brendan Fraser",5000,102176165,"Jet Li","The Mummy: Tomb of the Dragon Emperor ",9131,"Russell Wong",2,"c(""army"", ""china"", ""emperor"", ""mummy"", ""shangri la"")",1.45e+08,2008,3000,5.2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.295336793103448
"72",72,"David Ayer",418,123,452,329,"Robin Atkin Downes",10000,161087183,"Will Smith","Suicide Squad ",11287,"Ike Barinholtz",8,"c(""based on comic book"", ""critically bashed"", ""father daughter relationship"", ""reference to superman"", ""super villain"")",1.75e+08,2016,336,6.9,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0795018114285714
"73",73,"Tom Shadyac",186,96,293,7000,"Morgan Freeman",87000,100289690,"Jimmy Bennett","Evan Almighty ",108016,"Steve Carell",0,"c(""ark"", ""change"", ""congressman"", ""depiction of god"", ""flood"")",1.75e+08,2007,11000,5.4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.426916057142857
"74",74,"Doug Liman",585,113,218,509,"Lara Pulver",10000,100189501,"Tom Cruise","Edge of Tomorrow ",12652,"Noah Taylor",1,"c(""alien"", ""combat"", ""dying repeatedly"", ""end of the world"", ""time loop"")",1.78e+08,2014,854,7.9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.437137634831461
"76",76,"Stephen Sommers",250,118,208,570,"Dennis Quaid",23000,150167630,"Joseph Gordon-Levitt","G.I. Joe: The Rise of Cobra ",26683,"Leo Howard",4,"c(""cobra"", ""gi joe"", ""snake"", ""train"", ""warhead"")",1.75e+08,2009,2000,5.8,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141899257142857
"78",78,"Jon Favreau",370,106,4000,591,"Bill Murray",19000,362645141,"Scarlett Johansson","The Jungle Book ",32921,"Garry Shandling",0,"c(""fire"", ""jungle"", ""remake"", ""tiger"", ""wolf"")",1.75e+08,2016,13000,7.8,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07225794857143
