,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,tweet_2,tweet_1,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,budget,title_year,actor_2_facebook_likes,Action,Adventure,Fantasy,Sci.Fi,Thriller,Romance,Animation,Comedy,Family,Musical,Mystery,Western,Drama,History,Sport,Crime,Horror,War,Biography,Music,Documentary,Film.Noir,assassin,spy,scientist,vampire,vomiting,king,hospital,writer,student,future,fight,teenager,president,sex,terrorist,train,best.friend,college,serial.killer,hotel,christmas,secret,female.protagonist,battle,box.office.flop,rescue,cia,detective,lawyer,escape,party,wedding,island,marriage,dog,friendship,drugs,money,revenge,prison,school,boy,fbi,alien,high.school,new.york.city,police,death,murder,friend,love,profit,gross1,pc,actor1_age,actor1_awards,director_awards,director_name,actor2_awards,actor1_publicity,actor2_publicity,director_publicity
10,10,10,10,7.8961,5.720069444,599,153,464,963,Andrew Garfield,15000,262030663,Emma Stone,The Amazing Spider-Maní??æ,28489,Chris Zylka,0,"c(""lizard"", ""outcast"", ""spider"", ""spider man"", ""teenager"")",230000000,2012,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139263752,16187.3612,0,29,61.68125,20.0,Marc Webb,100.72,119,52,0
11,11,11,11,3.8202479339999997,36.0,251,113,129,1000,Eva Green,16000,70083519,Christopher Lee,The Golden Compassí??æ,24106,Kristin Scott Thomas,2,"c(""children"", ""epic"", ""friend"", ""girl"", ""quest"")",180000000,2007,6000,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.6106471170000001,8371.59,0,95,72.0,24.7,Chris Weitz,2.0,104,27,4
12,12,12,12,42.25,0.000129132,516,147,94,11000,Scarlett Johansson,21000,407197282,Robert Downey Jr.,Captain America: Civil Warí??æ,64798,Chris Evans,0,"c(""based on comic book"", ""knife"", ""marvel cinematic universe"", ""returning character killed off"", ""superhero"")",250000000,2016,19000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628789128,20179.1299,0,52,326.3,20.0,Anthony Russo,355.55,177,1039,0
13,13,13,13,0.0,0.000703053,377,131,532,627,Alexander Skarsgí??«rd,14000,65173160,Liam Neeson,Battleshipí??æ,26679,Tadanobu Asano,0,"c(""box office flop"", ""hawaii"", ""naval"", ""oahu hawaii"", ""ship"")",209000000,2012,10000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.688166699,8072.9895,0,65,144.9,15.0,Peter Berg,0.0,153,0,6
14,14,14,14,2.9408717789999996,0.28444444399999996,644,124,365,1000,Judy Greer,3000,652177271,Bryce Dallas Howard,Jurassic Worldí??æ,8458,Omar Sy,0,"c(""dinosaur"", ""disaster film"", ""experiment gone wrong"", ""jurassic park"", ""velociraptor"")",150000000,2015,2000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.347848473,25537.7617,1,36,129.3,6.0,Colin Trevorrow,8.0,91,18,0
15,15,15,15,6.839017447000001,0.000129132,608,195,1000,3000,Jon Favreau,21000,408992272,Robert Downey Jr.,Iron Man 3í??æ,30426,Don Cheadle,3,"c(""armor"", ""explosion"", ""human bomb"", ""missile attack"", ""terrorist"")",200000000,2013,4000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04496136,20223.5574,0,52,300.3,16.0,Shane Black,13.0,177,15,5
16,16,16,16,0.301889198,0.2025,451,108,13000,11000,Alan Rickman,40000,334185206,Johnny Depp,Alice in Wonderlandí??æ,79957,Anne Hathaway,0,"c(""alice in wonderland"", ""mistaking reality for dream"", ""queen"", ""shrinking"", ""shrinking potion"")",200000000,2010,25000,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67092603,18280.7332,0,54,463.24705880000005,155.4,Tim Burton,142.8,743,7,89
17,17,17,17,10.89,56.25,334,104,420,560,Kelsey Grammer,20000,234360014,Hugh Jackman,X-Men: The Last Standí??æ,21714,Daniel Cudmore,0,"c(""battle"", ""mutant"", ""outrage"", ""walking through a wall"", ""x men"")",210000000,2006,808,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116000067,15308.8214,0,49,60.9,4.0,Brett Ratner,200.3,204,61,7
18,18,18,18,7.8961,5.720069444,495,142,464,825,Andrew Garfield,15000,202853933,Emma Stone,The Amazing Spider-Man 2í??æ,28631,B.J. Novak,0,"c(""costumed hero"", ""death of girlfriend"", ""masked vigilante"", ""returning character killed off"", ""teenager"")",200000000,2014,10000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014269665,14242.68,0,29,85.68125,20.0,Marc Webb,106.72,119,52,0
19,19,19,19,9.9225,77.96533236,469,125,364,1000,Olivia Wilde,12000,172051787,Jeff Bridges,TRON: Legacyí??æ,25550,James Frain,0,"c(""arcade"", ""bridge"", ""disappearance"", ""escape"", ""warrior"")",170000000,2010,10000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012069335,13116.8513,0,68,132.1666667,1.0,Joseph Kosinski,11.0,85,171,0
20,20,20,20,1.8719214880000001,0.222993827,304,106,487,776,Thomas Kretschmann,1000,191450875,Joe Mantegna,Cars 2í??æ,4482,Eddie Izzard,0,"c(""best friend"", ""car race"", ""conspiracy"", ""gadget car"", ""spy"")",200000000,2011,919,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.042745625,13836.5774,0,70,53.9,185.89473684200001,John Lasseter,20.0,27,13,10
21,21,21,21,1.432434206,9.961914063,436,123,258,326,Temuera Morrison,16000,116593191,Ryan Reynolds,Green Lanterní??æ,17657,Taika Waititi,2,"c(""autopsy"", ""lantern"", ""planet"", ""ring"", ""test pilot"")",200000000,2011,368,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.417034045,10797.8327,0,41,27.0,17.0,Martin Campbell,10.0,26,11,0
22,22,22,22,1.045749717,0.25699267,453,103,125,721,John Ratzenberger,15000,414984497,Tom Hanks,Toy Story 3í??æ,19085,Don Rickles,3,"c(""college"", ""day care"", ""escape"", ""teddy bear"", ""toy"")",200000000,2010,1000,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.074922485,20371.1683,0,61,518.3024389999999,73.8888888889,Lee Unkrich,6.0,398,2,0
23,23,23,23,0.7225,0.133089849,422,118,368,988,Bryce Dallas Howard,23000,125320003,Christian Bale,Terminator Salvationí??æ,27468,Common,0,"c(""death row"", ""future"", ""machine"", ""rescue"", ""skynet"")",200000000,2009,3000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.373399985,11194.6417,0,43,77.0,8.0,McG,76.3,151,91,3
24,24,24,24,0.0,4.747116621,654,123,395,1000,Brad Pitt,17000,202351611,Peter Capaldi,World War Zí??æ,32392,Mireille Enos,0,"c(""chaos"", ""disease"", ""infection"", ""pandemic"", ""zombie"")",190000000,2013,11000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06500847900000001,14225.0347,0,59,103.12,49.8,Marc Forster,433.87037037,9,1074,12
25,25,25,25,5.270850694,0.0225,590,132,14000,928,Bruce Greenwood,19000,228756232,Benedict Cumberbatch,Star Trek Into Darknessí??æ,21411,Noel Clarke,0,"c(""admiral"", ""captain"", ""manhunt"", ""mission"", ""space"")",190000000,2013,981,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20398016800000002,15124.6895,0,41,62.0,72.0,J.J. Abrams,30.0,121,6,0
26,26,26,26,0.2025,2.578214101,490,143,1000,77,Elizabeth Debicki,29000,144812796,Leonardo DiCaprio,The Great Gatsbyí??æ,29770,Steve Bisley,4,"c(""ingratitude"", ""mansion"", ""party"", ""title appears in writing"", ""tragedy"")",105000000,2013,509,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379169486,12033.8188,0,43,417.3382353,169.177777778,Baz Luhrmann,8.0,713,0,20
27,27,27,27,0.838195736,0.330625,306,116,179,236,Richard Coyle,15000,90755643,Jake Gyllenhaal,Prince of Persia: The Sands of Timeí??æ,16149,Reece Ritchie,2,"c(""alamut"", ""dagger"", ""king"", ""persia"", ""princess"")",200000000,2010,567,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.546221785,9526.5756,0,37,153.77777780000002,103.2,Mike Newell,0.0,113,0,2
28,28,28,28,1.933574524,7.0977840279999995,470,122,14000,1000,Ray Winstone,11000,317011114,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skullí??æ,14959,Jim Broadbent,2,"c(""cult figure"", ""femme fatale"", ""indiana jones"", ""unsubtitled foreign language"", ""year 1957"")",185000000,2008,1000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.713573589,17804.8059,0,75,239.5,894.027586207,Steven Spielberg,97.1,542,41,267
29,29,29,29,1.045749717,8.331095041000001,488,93,56,838,John Ratzenberger,2000,237282182,Kelly Macdonald,Braveí??æ,5005,Julie Walters,0,"c(""archery"", ""coming of age"", ""female warrior"", ""princess"", ""rebellious daughter"")",185000000,2012,1000,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28260638899999996,15403.9664,0,41,116.925,12.92,Mark Andrews,7.0,19,2,0
30,30,30,30,0.0,2.506944444,322,122,681,105,Melissa Roxburgh,998,130468626,Sofia Boutella,Star Trek Beyondí??æ,1327,Lydia Wilson,4,"c(""hatred"", ""sequel"", ""space opera"", ""star trek"", ""third part"")",185000000,2016,119,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.294764184,11422.2864,0,35,4.0,18.0,Justin Lin,0.0,1,0,4
31,31,31,31,0.37515625,0.851225907,421,98,475,522,Fred Willard,1000,223806889,John Ratzenberger,WALLí???Eí??æ,2975,Jeff Garlin,0,"c(""earth"", ""obesity"", ""plant"", ""robot"", ""soil"")",180000000,2008,729,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24337160600000002,14960.1768,0,70,6.0,190.377777778,Andrew Stanton,23.0,2,9,3
32,32,32,32,0.081632653,6.84585421,162,91,420,173,Dana Ivey,268,140080850,Tzi Ma,Rush Hour 3í??æ,1125,Noí??©mie Lenoir,2,"c(""ambassador"", ""assassination"", ""chinese"", ""french"", ""triad"")",140000000,2007,268,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005775,11835.5756,0,0,8.0,4.0,Brett Ratner,0.0,1,0,7
33,33,33,33,0.5625,6.222253086,367,158,776,310,Liam James,1000,166112167,Oliver Platt,2012í??æ,2144,Tom McCarthy,0,"c(""ark"", ""catastrophe"", ""geologist"", ""president"", ""writer"")",200000000,2009,468,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.169439165,12888.4509,0,57,31.1,46.0,Roland Emmerich,292.4,6,107,14
34,34,34,34,0.0,5.552211572999999,248,110,282,103,Alexander Skarsgí??«rd,11000,124051759,Christoph Waltz,The Legend of Tarzaní??æ,21175,Casper Crump,2,"c(""africa"", ""capture"", ""jungle"", ""male objectification"", ""tarzan"")",180000000,2016,10000,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.310823561,11137.8525,0,61,523.1,103.3,David Yates,0.0,3,0,4
35,35,35,35,3.361111111,3.6754263610000004,284,150,80,82,Kiran Shah,1000,291709845,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobeí??æ",1317,Shane Rangi,5,"c(""hide and seek"", ""lion"", ""magic"", ""professor"", ""snow"")",180000000,2005,190,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62061025,17079.5154,0,68,126.15,31.0,Andrew Adamson,4.0,6,0,2
36,36,36,36,16.0,0.133089849,645,152,22000,11000,Heath Ledger,23000,533316061,Christian Bale,The Dark Knightí??æ,57802,Morgan Freeman,0,"c(""based on comic book"", ""dc comics"", ""psychopath"", ""star died before release"", ""urban setting"")",185000000,2008,13000,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8827895190000001,23093.6368,1,43,59.0,206.325,Christopher Nolan,186.8,151,242,10
37,37,37,37,7.070764463,0.000129132,486,126,4000,4000,Jeff Bridges,21000,318298180,Robert Downey Jr.,Iron Maní??æ,39252,Jon Favreau,3,"c(""afghanistan"", ""billionaire"", ""inventor"", ""playboy"", ""u.s. air force"")",140000000,2008,12000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2735584290000002,17840.9131,0,52,150.05882350000002,6.0,Jon Favreau,110.166666667,177,85,15
38,38,38,38,0.5647750229999999,0.0,682,126,17000,1000,Christopher Lee,17000,73820094,Chloí??? Grace Moretz,Hugoí??æ,36017,Ray Winstone,0,"c(""automaton"", ""mechanical"", ""railway station"", ""steampunk"", ""train"")",170000000,2011,16000,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5657641529999999,8591.8621,0,20,56.0,806.61627907,Martin Scorsese,82.0,45,104,135
39,39,39,39,0.40495867799999996,0.08265625,85,106,188,582,Salma Hayek,10000,113745408,Will Smith,Wild Wild Westí??æ,15870,Bai Ling,2,"c(""buddy movie"", ""general"", ""inventor"", ""steampunk"", ""utah"")",170000000,1999,4000,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.330909365,10665.1492,0,49,144.4,19.0,Barry Sonnenfeld,17.0,297,357,11
